순위,채널명,카테고리,구독자수,조회수,비디오수
1,BLACKPINK,음악/댄스/가수,91400000,33227510000,571
2,BANGTANTV,음악/댄스/가수,76400000,21360690000,2336
3,HYBE LABELS,음악/댄스/가수,72700000,30124270000,1435
4,SMTOWN,음악/댄스/가수,32100000,27903520000,4229
5,JYP Entertainment,음악/댄스/가수,27900000,20584660000,1843
6,Boram Tube Vlog [보람튜브 브이로그],키즈/어린이,26500000,11052880000,223
7,1MILLION Dance Studio,음악/댄스/가수,26200000,7982240000,6102
8,1theK (원더케이),음악/댄스/가수,24600000,24242830000,19236
9,Alan Becker,미분류,24400000,5849970000,173
10,Mnet K-POP,음악/댄스/가수,20600000,15322960000,33851
11,KBS WORLD TV,TV/방송,19200000,15414510000,66008
12,officialpsy,음악/댄스/가수,18300000,10864730000,131
13,Jane ASMR 제인,음식/요리/레시피,17800000,7341220000,1950
14,JFlaMusic,음악/댄스/가수,17500000,3824160000,334
15,TWICE,음악/댄스/가수,16300000,5317820000,1234
16,Hongyu ASMR 홍유,음식/요리/레시피,15300000,5217020000,654
17,BIGBANG,음악/댄스/가수,15100000,7950960000,776
18,GH'S,미분류,14800000,10175010000,565
19,승비니 Seungbini,미분류,14700000,10860440000,701
20,서은일상이야기,키즈/어린이,14600000,600600000,366
21,Boram Tube ToysReview [보람튜브 토이리뷰],키즈/어린이,14500000,5025780000,627
22,Stray Kids,음악/댄스/가수,14200000,3715040000,874
23,BIBO와 장난감,키즈/어린이,12900000,3202230000,194
24,[햄지]Hamzy,음식/요리/레시피,11800000,4087830000,699
25,CRAZY GREAPA,미분류,11700000,9656300000,847
26,핑크퐁 (인기 동요・동화),키즈/어린이,11200000,7226100000,3283
27,TOMORROW X TOGETHER OFFICIAL,음악/댄스/가수,11100000,1597980000,1705
29,토이몽 TV - ToyMong Tv,키즈/어린이,11000000,4521970000,1381
28,DuDuPopTOY,키즈/어린이,11000000,5111490000,2662
30,Stone Music Entertainment,음악/댄스/가수,10700000,9700740000,10571
31,MBCkpop,TV/방송,10500000,9216290000,47520
33,쏘영 Ssoyoung,음식/요리/레시피,10200000,1748620000,861
32,SEVENTEEN,음악/댄스/가수,10200000,4576820000,1653
34,Larva TUBA,키즈/어린이,10000000,4557230000,2139
35,EXO,음악/댄스/가수,9550000,1037990000,471
36,M2,TV/방송,9430000,8568960000,21044
37,Boram Tube [宝蓝和朋友们],키즈/어린이,9360000,2540400000,506
38,서은이야기[SeoeunStory],키즈/어린이,9330000,1834310000,1204
39,문복희 Eat with Boki,음식/요리/레시피,9260000,2638020000,762
40,Mnet TV,음악/댄스/가수,9070000,11748370000,22580
41,Serie A,해외,9000000,3604730000,26335
42,MBCentertainment,뉴스/정치/사회,8980000,17135240000,99873
44,iKON,음악/댄스/가수,8790000,2593830000,664
43,tzuyang쯔양,음식/요리/레시피,8790000,2124910000,589
45,이지금 [IU Official],음악/댄스/가수,8720000,2248840000,198
46,ITZY,음악/댄스/가수,8620000,2357500000,1258
47,ENHYPEN,음악/댄스/가수,8550000,1496010000,1002
48,KBS Kpop,TV/방송,8180000,7713700000,41599
49,JTBC Entertainment,뉴스/정치/사회,7710000,11978240000,81161
50,스브스케이팝 X INKIGAYO,TV/방송,7700000,6195350000,33965
51,MariAndKids,키즈/어린이,7630000,2252000000,698
52,YG ENTERTAINMENT,음악/댄스/가수,7610000,1959930000,411
53,야미보이 Yummyboy,음식/요리/레시피,7510000,3150780000,1080
54,SonicToy소닉토이,키즈/어린이,7260000,3158220000,170
55,TREASURE (트레저),음악/댄스/가수,7250000,2303390000,886
56,미니특공대TV,키즈/어린이,7150000,4010050000,1476
57,Sungha Jung,음악/댄스/가수,7110000,1972020000,1393
58,NLE CHOPPA,미분류,7040000,2706200000,570
59,MAMAMOO,음악/댄스/가수,6970000,2436520000,856
60,5 분 Tricks,음식/요리/레시피,6960000,2926010000,4801
61,(G)I-DLE (여자)아이들 (Official YouTube Channel),음악/댄스/가수,6930000,3511440000,778
62,ALL THE K-POP,음악/댄스/가수,6880000,4620030000,28286
63,SBS Entertainment,TV/방송,6850000,9005780000,228076
64,YouTube Originals,회사/오피셜,6760000,646610000,477
65,tvN drama,TV/방송,6750000,7951560000,55193
66,SBS Drama,TV/방송,6690000,7510650000,346749
67,[장난감티비]TOYTV,키즈/어린이,6650000,3032840000,1739
68,With Kids Playground [위드키즈 놀이터],키즈/어린이,6510000,2367450000,528
71,Rosesarerosie,음악/댄스/가수,6490000,89760000,11
70,NCT DREAM,음악/댄스/가수,6490000,1477450000,685
69,Samsung,회사/오피셜,6490000,1480350000,1939
72,GOT7,음악/댄스/가수,6250000,916340000,579
73,미니팡TV,키즈/어린이,6140000,3929070000,960
75,NCT,음악/댄스/가수,6090000,1024980000,817
74,starshipTV,음악/댄스/가수,6090000,4296060000,2179
77,PONY Syndrome,패션/미용,5970000,343980000,241
76,백종원 PAIK JONG WON,음식/요리/레시피,5970000,1004540000,568
78,PinkyPopTOY,키즈/어린이,5780000,1011480000,841
79,NewJeans,미분류,5760000,2147530000,360
80,채널 십오야,TV/방송,5750000,1676460000,931
81,영국남자 Korean Englishman,BJ/인물/연예인,5740000,2080300000,556
82,MayTree,미분류,5670000,1268410000,239
83,2NE1,음악/댄스/가수,5660000,2340190000,321
84,스위트티비 SweetTV,키즈/어린이,5550000,2876470000,436
85,TOY GUMA,키즈/어린이,5460000,1814080000,396
86,푸메Fume,음식/요리/레시피,5450000,1240290000,714
87,베이비버스 -인기 동요・동화,키즈/어린이,5400000,3906670000,1750
88,SBS NOW / SBS 공식 채널,뉴스/정치/사회,5380000,6088600000,25571
89,NCT 127,음악/댄스/가수,5340000,990640000,562
90,Red Velvet,음악/댄스/가수,5330000,1394140000,299
91,BT21,음악/댄스/가수,5320000,501720000,414
92,콩순이 Kongsuni,키즈/어린이,5260000,5071700000,1486
93,KBS Entertain,TV/방송,5250000,9408850000,121193
94,ASTRO 아스트로,음악/댄스/가수,5230000,685400000,648
95,팀일루션 노성율 - TEAM1LLUSION,미분류,5170000,5553810000,755
96,[Awesome Haeun]어썸하은,BJ/인물/연예인,5160000,878250000,521
97,뽀로로(Pororo),키즈/어린이,5150000,7104040000,4327
98,MBCdrama,TV/방송,5000000,5919970000,61369
99,EA SPORTS FC,게임,4970000,879550000,814
100,떵개떵,음식/요리/레시피,4950000,3063620000,5037
101,매일맛나 delicious day,미분류,4940000,526530000,368
102,CoCosToy 꼬꼬스토이,키즈/어린이,4880000,3179560000,747
104,SBS TV동물농장x애니멀봐,애완/반려동물,4870000,4762930000,4530
103,Cooking tree 쿠킹트리,음식/요리/레시피,4870000,515020000,1647
105,ToyMart TV,키즈/어린이,4850000,1999170000,763
106,까니짱 [ G-NI : 蟹ちゃん],음식/요리/레시피,4810000,1455340000,830
107,JTBC Drama,TV/방송,4800000,5418170000,29138
108,STUDIO CHOOM [스튜디오 춤],음악/댄스/가수,4770000,2749900000,1775
